town,centroid_lat,centroid_long,town_radius_km
jurong west,1.341443,103.703521,3.36
tampines,1.345962,103.951249,2.87
sengkang,1.39311,103.883115,2.8
bedok,1.325809,103.933736,3.46
ang mo kio,1.382177,103.841626,2.79
yishun,1.417996,103.840275,2.88
bukit merah,1.282343,103.821103,2.69
woodlands,1.439668,103.788821,2.46
hougang,1.366029,103.890594,2.89
punggol,1.405524,103.909898,2.55
toa payoh,1.337213,103.86311,2.92
clementi,1.323533,103.762224,2.43
bukit batok,1.353846,103.754385,2.44
choa chu kang,1.39109,103.745614,2.07
queenstown,1.295994,103.791323,3.29
kallang/whampoa,1.313183,103.864736,2.28
pasir ris,1.375153,103.947255,3.68
geylang,1.322243,103.890282,2.07
jurong east,1.32525,103.735567,2.19
bukit panjang,1.37097,103.772176,2.65
sembawang,1.454814,103.818557,3.16
bishan,1.35512,103.837545,1.91
serangoon,1.370309,103.867557,2.59
marine parade,1.302132,103.896979,2.7
central,1.295888,103.843593,2.41
bukit timah,1.331353,103.790679,3.45
